time,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,kategori,tempmax,tempmin,humidity,dew,precip,precipprob,precipcover,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-01-22,45,,21,13,40,15,BAIK,86.0,77.0,78.0,72.9,0.0,0,0.0,21.0,15.7,293.8,63.6,3.3,197.3,17.0,8
2021-01-23,80,,22,44,44,22,SEDANG,86.2,75.2,81.5,75.0,0.0,0,0.0,15.4,13.4,323.5,53.3,3.3,182.4,15.7,7
2021-01-24,27,,14,9,29,---,BAIK,81.7,75.2,92.2,75.0,2.189,100,25.0,13.2,6.8,264.0,76.0,2.8,130.6,11.1,6
2021-01-25,55,,19,29,67,13,SEDANG,86.5,75.2,82.3,74.1,0.26,100,8.33,17.7,13.1,279.5,56.2,3.1,236.7,20.5,9
2021-01-26,57,,21,23,36,16,SEDANG,87.8,75.2,82.3,74.1,0.098,100,16.67,26.4,16.1,261.3,60.7,3.5,196.9,17.0,8
2021-01-27,15,,16,5,20,---,BAIK,84.2,75.2,83.9,73.7,0.226,100,16.67,26.4,16.6,256.3,69.3,3.5,100.6,8.8,4
2021-01-28,28,,19,11,28,---,BAIK,83.7,75.2,82.1,73.0,0.495,100,12.5,25.1,14.3,272.2,63.4,3.9,90.2,7.8,3
2021-01-29,30,,22,10,32,11,BAIK,86.0,75.2,86.9,74.0,1.52,100,20.83,23.3,17.7,273.0,72.9,3.4,102.5,8.9,4
2021-01-30,24,,17,8,27,10,BAIK,84.8,75.2,86.5,74.3,1.097,100,20.83,23.3,11.4,291.4,71.6,3.2,136.1,11.8,5
2021-01-31,41,,17,19,29,8,BAIK,83.5,75.7,85.0,74.8,0.251,100,8.33,24.8,9.2,285.1,60.1,3.2,168.9,14.6,6
2021-02-01,59,79,21,26,15,31,SEDANG,87.8,77.0,82.5,74.9,0.332,100,8.33,22.1,14.5,307.1,60.0,3.3,268.6,23.3,10
2021-02-02,30,46,21,14,16,24,BAIK,86.0,76.3,82.7,74.9,0.319,100,12.5,25.1,12.8,297.4,66.6,3.5,206.4,17.9,7
2021-02-03,23,33,19,11,14,19,BAIK,84.2,75.2,87.9,74.9,3.364,100,25.0,24.6,15.8,280.6,72.9,3.1,129.0,11.3,4
2021-02-04,36,53,23,14,12,24,SEDANG,86.0,75.2,86.0,74.7,0.719,100,25.0,27.1,17.7,301.7,70.2,3.3,222.0,19.2,9
2021-02-05,29,36,20,14,12,21,BAIK,86.0,75.7,83.6,75.0,0.131,100,12.5,24.4,13.6,317.7,69.3,3.6,243.0,21.0,8
2021-02-06,27,34,21,8,21,15,BAIK,86.5,77.0,78.5,74.8,1.554,100,8.33,23.7,11.3,327.7,67.2,3.6,253.8,21.9,9
2021-02-07,25,23,19,7,19,12,BAIK,85.5,77.5,84.5,75.7,2.777,100,20.83,25.9,16.8,316.1,77.0,3.1,213.1,18.3,8
2021-02-08,24,26,19,10,18,17,BAIK,86.0,75.2,85.6,75.6,0.767,100,25.0,23.0,16.8,316.1,73.5,3.4,192.2,16.4,7
2021-02-09,33,40,22,12,14,22,BAIK,87.8,76.4,83.5,75.4,0.05,100,8.33,21.5,11.4,310.2,65.2,3.5,172.7,14.9,7
2021-02-10,32,38,21,10,12,16,BAIK,86.6,77.0,81.8,74.6,0.041,100,8.33,23.3,13.5,259.8,55.6,3.7,138.6,11.8,7
2021-02-11,26,37,23,13,9,17,BAIK,88.5,76.9,79.4,73.9,0.001,100,4.17,21.3,40.7,270.3,40.4,3.8,251.9,21.8,9
2021-02-12,41,52,26,16,10,16,SEDANG,85.4,76.4,82.4,74.5,0.23,100,83.33,20.8,9.8,313.8,42.1,3.8,174.8,15.4,7
2021-02-13,25,37,20,9,19,16,BAIK,86.6,75.1,81.2,74.8,0.168,100,62.5,21.9,12.1,298.1,49.6,3.5,207.2,18.0,7
2021-02-14,33,47,18,11,19,19,BAIK,83.7,77.0,86.8,76.6,0.943,100,20.83,17.0,11.8,312.5,65.8,3.4,167.1,14.2,7
2021-02-15,34,47,20,13,17,25,BAIK,87.3,77.0,83.9,75.5,0.81,100,16.67,15.7,13.6,333.7,64.2,3.5,187.9,16.2,7
2021-02-16,26,28,18,11,18,26,BAIK,82.1,75.2,92.6,75.9,4.659,100,25.0,15.4,10.3,325.2,68.5,2.9,132.9,11.3,5
2021-02-17,39,57,23,23,12,33,SEDANG,83.7,75.0,84.8,74.6,0.12,100,8.33,23.0,11.4,287.2,68.7,3.5,117.8,10.3,6
2021-02-18,43,59,29,13,12,29,SEDANG,86.0,74.5,85.8,73.3,1.783,100,16.67,20.6,10.2,277.9,61.9,3.5,156.8,13.8,6
2021-02-19,29,41,19,20,12,23,BAIK,83.6,75.2,84.2,73.9,1.934,100,16.67,21.9,15.7,327.0,70.5,3.4,120.8,10.4,5
2021-02-20,30,38,18,11,18,20,BAIK,84.1,76.2,86.2,75.0,0.079,100,4.17,24.6,11.4,305.0,70.4,3.1,120.7,10.4,5
2021-02-21,31,45,18,10,16,17,BAIK,87.2,75.6,79.8,73.8,0.181,100,66.67,17.0,9.8,328.4,54.9,3.7,249.2,21.5,9
2021-02-22,51,67,20,18,11,23,SEDANG,87.3,77.0,78.6,74.5,0.0,0,0.0,17.9,11.3,324.0,58.9,3.6,234.4,20.3,9
2021-02-23,50,64,22,11,20,23,SEDANG,90.3,77.0,79.3,74.4,0.012,100,4.17,21.7,21.3,293.6,54.9,3.4,244.7,21.1,10
2021-02-24,30,42,22,10,9,16,BAIK,89.5,75.2,80.7,73.0,0.466,100,8.33,28.9,17.2,267.7,62.3,4.5,111.9,9.6,5
